event_id,user_id,username,department,job_title,resource,action,timestamp,source_ip,location,success,is_anomaly,anomaly_type
EVT005466,U00104,svc_0104,IT,Systems Administrator,source_code_repo,delete,2026-01-30T07:38:49Z,168.30.181.85,"Singapore, SG",true,false,
EVT001337,U00191,user_0191,Legal,General Counsel,security_incident_tracker,read,2026-01-07T23:47:10Z,28.162.4.13,"Tokyo, JP",true,true,impossible_travel
EVT004891,U00314,svc_abused_0314,Operations,Ops Analyst,security_incident_tracker,admin,2025-12-26T22:27:59Z,148.132.139.168,"Berlin, DE",true,false,
EVT006490,U00251,svc_0251,Legal,General Counsel,financial_ledger,execute,2025-09-10T00:13:42Z,51.100.1.93,"London, UK",true,false,
EVT001993,U00367,user_0367,Sales,Account Executive,dns_server,download,2025-04-24T13:49:48Z,91.28.220.253,"Sydney, AU",true,false,
EVT003965_travel,U00480,user_0480,Marketing,Marketing Coordinator,staging_environment,write,2025-07-12T12:42:48Z,71.166.124.41,"New York, US",false,true,impossible_travel
EVT005431,U00388,user_0388,IT,CISO,dns_server,read,2026-02-20T15:55:38Z,18.104.233.144,"Mumbai, IN",true,false,
EVT001944,U00286,user_0286,Operations,Logistics Coordinator,monitoring_system,admin,2025-09-21T02:36:31Z,171.109.201.107,"Toronto, CA",true,false,
EVT007352,U00109,user_0109,Marketing,SEO Specialist,load_balancer,delete,2025-05-08T10:54:02Z,198.198.241.83,"Toronto, CA",true,true,unusual_time
EVT002919,U00024,user_0024,Legal,Compliance Officer,file_storage,execute,2025-05-11T12:08:31Z,13.116.238.64,"London, UK",true,false,
EVT002563,U00196,svc_0196,Engineering,Staff Engineer,staging_environment,download,2026-01-17T03:43:16Z,5.191.70.133,"Singapore, SG",true,false,
EVT004218,U00004,user_0004,Legal,Corporate Counsel,sales_crm,write,2025-08-27T13:02:29Z,195.185.11.154,"Sydney, AU",true,false,
EVT000766,U00262,user_0262,Customer Support,Support Agent,file_storage,delete,2025-08-25T23:19:52Z,212.160.99.163,"London, UK",true,false,
EVT005441,U00362,user_0362,Customer Support,Support Team Lead,staging_environment,download,2025-12-03T12:36:01Z,162.220.171.3,"Singapore, SG",true,false,
EVT000839,U00340,user_0340,IT,IT Support,hr_information_system,read,2026-02-05T16:54:53Z,12.35.203.77,"Berlin, DE",true,false,
EVT002586,U00173,user_0173,Marketing,Marketing Coordinator,ci_cd_pipeline,execute,2025-11-01T02:14:18Z,129.131.241.23,"New York, US",true,false,
EVT003781,U00489,user_0489,Product,CPO,email_server,download,2026-02-01T12:44:33Z,26.130.222.58,"Sydney, AU",true,true,privilege_escalation
EVT000563,U00203,user_0203,IT,Systems Administrator,source_code_repo,write,2025-09-07T09:26:20Z,108.210.243.143,"London, UK",true,true,unusual_time
EVT005291,U00306,user_0306,Sales,Sales Manager,source_code_repo,admin,2026-03-30T23:18:14Z,71.18.187.205,"Berlin, DE",true,true,impossible_travel
EVT007152,U00245,user_0245,Finance,Controller,financial_ledger,admin,2025-04-17T10:51:22Z,218.111.54.216,"Berlin, DE",false,false,
EVT006497,U00355,user_0355,HR,Benefits Specialist,dns_server,admin,2025-08-30T09:11:59Z,142.36.254.199,"London, UK",false,false,
EVT001904,U00004,user_0004,Legal,General Counsel,financial_ledger,admin,2026-01-24T18:58:26Z,57.226.83.8,"Berlin, DE",true,false,
EVT005914,U00150,user_0150,Finance,Senior Accountant,staging_environment,execute,2026-01-28T03:19:36Z,96.35.94.29,"Singapore, SG",true,false,
EVT006168,U00079,user_0079,HR,Recruiter,staging_environment,read,2026-04-02T23:37:34Z,140.179.118.203,"New York, US",true,false,
EVT004616,U00422,user_0422,Marketing,CMO,employee_portal,admin,2025-07-29T02:52:01Z,169.33.154.21,"Singapore, SG",false,false,
EVT002889,U00059,user_0059,HR,CHRO,staging_environment,read,2025-12-24T13:03:45Z,213.176.53.213,"Paris, FR",true,false,
EVT007035,U00356,user_0356,IT,Network Engineer,file_storage,read,2025-06-28T04:21:34Z,8.243.131.4,"Sao Paulo, BR",true,false,
EVT007397,U00186,user_0186,IT,Network Engineer,financial_ledger,delete,2025-12-15T09:43:01Z,156.201.17.200,"Singapore, SG",false,true,privilege_escalation
EVT000378,U00093,user_0093,HR,HR Coordinator,audit_logs,write,2026-03-03T17:11:46Z,39.228.189.6,"London, UK",true,false,
EVT005639,U00428,user_0428,IT,CISO,ci_cd_pipeline,delete,2025-05-04T16:20:53Z,212.249.102.122,"Berlin, DE",true,true,impossible_travel
EVT003047,U00119,user_0119,Product,Product Manager,ci_cd_pipeline,execute,2025-05-03T03:15:39Z,191.77.185.57,"Mumbai, IN",true,false,
EVT006210,U00209,user_0209,Engineering,DevOps Engineer,security_incident_tracker,admin,2026-03-30T18:26:51Z,146.230.210.155,"Sydney, AU",true,false,
EVT006079,U00397,user_0397,Product,Senior PM,sales_crm,execute,2025-07-24T14:58:05Z,88.184.178.128,"London, UK",true,true,impossible_travel
EVT002526,U00458,user_0458,Product,Director of Product,email_server,write,2025-09-30T10:20:29Z,222.231.168.234,"Toronto, CA",true,true,unusual_time
EVT002753,U00241,user_0241,IT,Network Engineer,production_database,read,2026-01-07T20:07:38Z,152.84.249.175,"Paris, FR",true,true,unusual_location
EVT001858,U00267,user_0267,Customer Support,CSO,staging_environment,read,2026-03-15T22:28:19Z,85.128.103.183,"Tokyo, JP",true,false,
EVT005726,U00356,user_0356,IT,Security Analyst,dns_server,execute,2026-03-10T05:04:58Z,136.17.168.165,"New York, US",true,false,
