event_id,is_anomaly,anomaly_type,severity,explanation
EVT005466,false,,,
EVT001337,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004891,false,,,
EVT006490,false,,,
EVT001993,false,,,
EVT003965_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005431,false,,,
EVT001944,false,,,
EVT007352,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT002919,false,,,
EVT002563,false,,,
EVT004218,false,,,
EVT000766,false,,,
EVT005441,false,,,
EVT000839,false,,,
EVT002586,false,,,
EVT003781,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT000563,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT005291,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT007152,false,,,
EVT006497,false,,,
EVT001904,false,,,
EVT005914,false,,,
EVT006168,false,,,
EVT004616,false,,,
EVT002889,false,,,
EVT007035,false,,,
EVT007397,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT000378,false,,,
EVT005639,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003047,false,,,
EVT006210,false,,,
EVT006079,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002526,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT002753,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001858,false,,,
EVT005726,false,,,
EVT002021,false,,,
EVT007183,false,,,
EVT003136,false,,,
EVT006341,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT005270,false,,,
EVT001628,false,,,
EVT004923,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT005852,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT003288,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT007418,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT007349,false,,,
EVT006205,false,,,
EVT002926,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT002266,false,,,
